#
#	Name:             GB12345-80 to Unicode table (complete, hex format)
#	Unicode version:  1.1
#	Table version:    0.0d1
#	Table format:     Format A
#	Date:             6 December 1993
#	Author:           Glenn Adams <glenn@metis.com>
#                     John H. Jenkins <John_Jenkins@taligent.com>
#
#	Copyright (c) 1991-1994 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on magnetic media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Recipient is granted the right to make copies in any form for
#	internal distribution and to freely use the information supplied
#	in the creation of products supporting Unicode.  Unicode, Inc.
#	specifically excludes the right to re-distribute this file directly
#	to third parties or other organizations whether for profit or not.
#
#	General notes:
#
#	This table contains the data Metis and Taligent currently have on how
#       GB12345-90 characters map into Unicode.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the GB12345 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#')
#					The official names for Unicode characters U+4E00
#					to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#					where XXXX is the code point.  Including all these
#					names in this file increases its size substantially
#					and needlessly.  The token "<CJK>" is used for the
#					name of these characters.  If necessary, it can be
#					expanded algorithmically by a parser or editor.
#
#	The entries are in GB12345 order
#
#	The following algorithms can be used to change the hex form
#		of GB12345 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#		To change hex to kuten form, first subtract 0x2020.  Then
#			the high and low bytes correspond to the ku and ten of
#			the kuten form.  For example, 0x2121 -> 0x0101 -> 0101;
#			0x777E -> 0x575E -> 8794
#
#	Any comments or problems, contact <John_Jenkins@taligent.com>
#
#
0x2121	0x3000	# IDEOGRAPHIC SPACE
0x2161	0x2642	# MALE SIGN
0x2162	0x2640	# FEMALE SIGN
0x2163	0x00B0	# DEGREE SIGN
0x2164	0x2032	# PRIME
0x2165	0x2033	# DOUBLE PRIME
0x2166	0x2103	# DEGREE CELSIUS
0x2167	0xFF04	# FULLWIDTH DOLLAR SIGN
0x2168	0x00A4	# CURRENCY SIGN
0x2169	0xFFE0	# FULLWIDTH CENT SIGN
0x216A	0xFFE1	# FULLWIDTH POUND SIGN
0x216B	0x2030	# PER MILLE SIGN
0x216C	0x00A7	# SECTION SIGN
0x216D	0x2116	# NUMERO SIGN
0x216E	0x2606	# WHITE STAR
0x216F	0x2605	# BLACK STAR
0x2170	0x25CB	# WHITE CIRCLE
0x2171	0x25CF	# BLACK CIRCLE
0x2172	0x25CE	# BULLSEYE
0x2173	0x25C7	# WHITE DIAMOND
0x2174	0x25C6	# BLACK DIAMOND
0x2175	0x25A1	# WHITE SQUARE
0x2176	0x25A0	# BLACK SQUARE
0x2177	0x25B3	# WHITE UP-POINTING TRIANGLE
0x2178	0x25B2	# BLACK UP-POINTING TRIANGLE
0x2179	0x203B	# REFERENCE MARK
0x217A	0x2192	# RIGHTWARDS ARROW
0x217B	0x2190	# LEFTWARDS ARROW
0x217C	0x2191	# UPWARDS ARROW
0x217D	0x2193	# DOWNWARDS ARROW
0x217E	0x3013	# GETA MARK
0x2231	0x2488	# DIGIT ONE FULL STOP
0x2232	0x2489	# DIGIT TWO FULL STOP
0x2233	0x248A	# DIGIT THREE FULL STOP
0x2234	0x248B	# DIGIT FOUR FULL STOP
0x2235	0x248C	# DIGIT FIVE FULL STOP
0x2236	0x248D	# DIGIT SIX FULL STOP
0x2237	0x248E	# DIGIT SEVEN FULL STOP
0x2238	0x248F	# DIGIT EIGHT FULL STOP
0x2239	0x2490	# DIGIT NINE FULL STOP
0x223A	0x2491	# NUMBER TEN FULL STOP
0x223B	0x2492	# NUMBER ELEVEN FULL STOP
0x223C	0x2493	# NUMBER TWELVE FULL STOP
0x223D	0x2494	# NUMBER THIRTEEN FULL STOP
0x223E	0x2495	# NUMBER FOURTEEN FULL STOP
0x223F	0x2496	# NUMBER FIFTEEN FULL STOP
0x2240	0x2497	# NUMBER SIXTEEN FULL STOP
0x2241	0x2498	# NUMBER SEVENTEEN FULL STOP
0x2242	0x2499	# NUMBER EIGHTEEN FULL STOP
0x2243	0x249A	# NUMBER NINETEEN FULL STOP
0x2244	0x249B	# NUMBER TWENTY FULL STOP
0x2245	0x2474	# PARENTHESIZED DIGIT ONE
0x2246	0x2475	# PARENTHESIZED DIGIT TWO
0x2247	0x2476	# PARENTHESIZED DIGIT THREE
0x2248	0x2477	# PARENTHESIZED DIGIT FOUR
0x2249	0x2478	# PARENTHESIZED DIGIT FIVE
0x224A	0x2479	# PARENTHESIZED DIGIT SIX
0x224B	0x247A	# PARENTHESIZED DIGIT SEVEN
0x224C	0x247B	# PARENTHESIZED DIGIT EIGHT
0x224D	0x247C	# PARENTHESIZED DIGIT NINE
0x224E	0x247D	# PARENTHESIZED NUMBER TEN
0x224F	0x247E	# PARENTHESIZED NUMBER ELEVEN
0x2250	0x247F	# PARENTHESIZED NUMBER TWELVE
0x2251	0x2480	# PARENTHESIZED NUMBER THIRTEEN
0x2252	0x2481	# PARENTHESIZED NUMBER FOURTEEN
0x2253	0x2482	# PARENTHESIZED NUMBER FIFTEEN
0x2254	0x2483	# PARENTHESIZED NUMBER SIXTEEN
0x2255	0x2484	# PARENTHESIZED NUMBER SEVENTEEN
0x2256	0x2485	# PARENTHESIZED NUMBER EIGHTEEN
0x2257	0x2486	# PARENTHESIZED NUMBER NINETEEN
0x2258	0x2487	# PARENTHESIZED NUMBER TWENTY
0x2259	0x2460	# CIRCLED DIGIT ONE
0x225A	0x2461	# CIRCLED DIGIT TWO
0x225B	0x2462	# CIRCLED DIGIT THREE
0x225C	0x2463	# CIRCLED DIGIT FOUR
0x225D	0x2464	# CIRCLED DIGIT FIVE
0x225E	0x2465	# CIRCLED DIGIT SIX
0x225F	0x2466	# CIRCLED DIGIT SEVEN
0x2260	0x2467	# CIRCLED DIGIT EIGHT
0x2261	0x2468	# CIRCLED DIGIT NINE
0x2262	0x2469	# CIRCLED NUMBER TEN
0x2265	0x3220	# PARENTHESIZED IDEOGRAPH ONE
0x2266	0x3221	# PARENTHESIZED IDEOGRAPH TWO
0x2267	0x3222	# PARENTHESIZED IDEOGRAPH THREE
0x2268	0x3223	# PARENTHESIZED IDEOGRAPH FOUR
0x2269	0x3224	# PARENTHESIZED IDEOGRAPH FIVE
0x226A	0x3225	# PARENTHESIZED IDEOGRAPH SIX
0x226B	0x3226	# PARENTHESIZED IDEOGRAPH SEVEN
0x226C	0x3227	# PARENTHESIZED IDEOGRAPH EIGHT
0x226D	0x3228	# PARENTHESIZED IDEOGRAPH NINE
0x226E	0x3229	# PARENTHESIZED IDEOGRAPH TEN
0x2271	0x2160	# ROMAN NUMERAL ONE
0x2272	0x2161	# ROMAN NUMERAL TWO
0x2273	0x2162	# ROMAN NUMERAL THREE
0x2274	0x2163	# ROMAN NUMERAL FOUR
0x2275	0x2164	# ROMAN NUMERAL FIVE
0x2276	0x2165	# ROMAN NUMERAL SIX
0x2277	0x2166	# ROMAN NUMERAL SEVEN
0x2278	0x2167	# ROMAN NUMERAL EIGHT
0x2279	0x2168	# ROMAN NUMERAL NINE
0x227A	0x2169	# ROMAN NUMERAL TEN
0x227B	0x216A	# ROMAN NUMERAL ELEVEN
0x227C	0x216B	# ROMAN NUMERAL TWELVE
0x2321	0xFF01	# FULLWIDTH EXCLAMATION MARK
0x2322	0xFF02	# FULLWIDTH QUOTATION MARK
0x2323	0xFF03	# FULLWIDTH NUMBER SIGN
0x2324	0xFFE5	# FULLWIDTH YEN SIGN
0x2325	0xFF05	# FULLWIDTH PERCENT SIGN
0x2326	0xFF06	# FULLWIDTH AMPERSAND
0x2327	0xFF07	# FULLWIDTH APOSTROPHE
0x2328	0xFF08	# FULLWIDTH LEFT PARENTHESIS
0x2329	0xFF09	# FULLWIDTH RIGHT PARENTHESIS
0x232A	0xFF0A	# FULLWIDTH ASTERISK
0x232B	0xFF0B	# FULLWIDTH PLUS SIGN
0x232C	0xFF0C	# FULLWIDTH COMMA
0x232D	0xFF0D	# FULLWIDTH HYPHEN-MINUS
0x232E	0xFF0E	# FULLWIDTH FULL STOP
0x232F	0xFF0F	# FULLWIDTH SOLIDUS
0x2330	0xFF10	# FULLWIDTH DIGIT ZERO
0x2331	0xFF11	# FULLWIDTH DIGIT ONE
0x2332	0xFF12	# FULLWIDTH DIGIT TWO
0x2333	0xFF13	# FULLWIDTH DIGIT THREE
0x2334	0xFF14	# FULLWIDTH DIGIT FOUR
0x2335	0xFF15	# FULLWIDTH DIGIT FIVE
0x2336	0xFF16	# FULLWIDTH DIGIT SIX
0x2337	0xFF17	# FULLWIDTH DIGIT SEVEN
0x2338	0xFF18	# FULLWIDTH DIGIT EIGHT
0x2339	0xFF19	# FULLWIDTH DIGIT NINE
0x233A	0xFF1A	# FULLWIDTH COLON
0x233B	0xFF1B	# FULLWIDTH SEMICOLON
0x233C	0xFF1C	# FULLWIDTH LESS-THAN SIGN
0x233D	0xFF1D	# FULLWIDTH EQUALS SIGN
0x233E	0xFF1E	# FULLWIDTH GREATER-THAN SIGN
0x233F	0xFF1F	# FULLWIDTH QUESTION MARK
0x2340	0xFF20	# FULLWIDTH COMMERCIAL AT
0x2341	0xFF21	# FULLWIDTH LATIN CAPITAL LETTER A
0x2342	0xFF22	# FULLWIDTH LATIN CAPITAL LETTER B
0x2343	0xFF23	# FULLWIDTH LATIN CAPITAL LETTER C
0x2344	0xFF24	# FULLWIDTH LATIN CAPITAL LETTER D
0x2345	0xFF25	# FULLWIDTH LATIN CAPITAL LETTER E
0x2346	0xFF26	# FULLWIDTH LATIN CAPITAL LETTER F
0x2347	0xFF27	# FULLWIDTH LATIN CAPITAL LETTER G
0x2348	0xFF28	# FULLWIDTH LATIN CAPITAL LETTER H
0x2349	0xFF29	# FULLWIDTH LATIN CAPITAL LETTER I
0x234A	0xFF2A	# FULLWIDTH LATIN CAPITAL LETTER J
0x234B	0xFF2B	# FULLWIDTH LATIN CAPITAL LETTER K
0x234C	0xFF2C	# FULLWIDTH LATIN CAPITAL LETTER L
0x234D	0xFF2D	# FULLWIDTH LATIN CAPITAL LETTER M
0x234E	0xFF2E	# FULLWIDTH LATIN CAPITAL LETTER N
0x234F	0xFF2F	# FULLWIDTH LATIN CAPITAL LETTER O
0x2350	0xFF30	# FULLWIDTH LATIN CAPITAL LETTER P
0x2351	0xFF31	# FULLWIDTH LATIN CAPITAL LETTER Q
0x2352	0xFF32	# FULLWIDTH LATIN CAPITAL LETTER R
0x2353	0xFF33	# FULLWIDTH LATIN CAPITAL LETTER S
0x2354	0xFF34	# FULLWIDTH LATIN CAPITAL LETTER T
0x2355	0xFF35	# FULLWIDTH LATIN CAPITAL LETTER U
0x2356	0xFF36	# FULLWIDTH LATIN CAPITAL LETTER V
0x2357	0xFF37	# FULLWIDTH LATIN CAPITAL LETTER W
0x2358	0xFF38	# FULLWIDTH LATIN CAPITAL LETTER X
0x2359	0xFF39	# FULLWIDTH LATIN CAPITAL LETTER Y
0x235A	0xFF3A	# FULLWIDTH LATIN CAPITAL LETTER Z
0x235B	0xFF3B	# FULLWIDTH LEFT SQUARE BRACKET
0x235C	0xFF3C	# FULLWIDTH REVERSE SOLIDUS
0x235D	0xFF3D	# FULLWIDTH RIGHT SQUARE BRACKET
0x235E	0xFF3E	# FULLWIDTH CIRCUMFLEX ACCENT
0x235F	0xFF3F	# FULLWIDTH LOW LINE
0x2360	0xFF40	# FULLWIDTH GRAVE ACCENT
0x2361	0xFF41	# FULLWIDTH LATIN SMALL LETTER A
0x2362	0xFF42	# FULLWIDTH LATIN SMALL LETTER B
0x2363	0xFF43	# FULLWIDTH LATIN SMALL LETTER C
0x2364	0xFF44	# FULLWIDTH LATIN SMALL LETTER D
0x2365	0xFF45	# FULLWIDTH LATIN SMALL LETTER E
0x2366	0xFF46	# FULLWIDTH LATIN SMALL LETTER F
0x2367	0xFF47	# FULLWIDTH LATIN SMALL LETTER G
0x2368	0xFF48	# FULLWIDTH LATIN SMALL LETTER H
0x2369	0xFF49	# FULLWIDTH LATIN SMALL LETTER I
0x236A	0xFF4A	# FULLWIDTH LATIN SMALL LETTER J
0x236B	0xFF4B	# FULLWIDTH LATIN SMALL LETTER K
0x236C	0xFF4C	# FULLWIDTH LATIN SMALL LETTER L
0x236D	0xFF4D	# FULLWIDTH LATIN SMALL LETTER M
0x236E	0xFF4E	# FULLWIDTH LATIN SMALL LETTER N
0x236F	0xFF4F	# FULLWIDTH LATIN SMALL LETTER O
0x2370	0xFF50	# FULLWIDTH LATIN SMALL LETTER P
0x2371	0xFF51	# FULLWIDTH LATIN SMALL LETTER Q
0x2372	0xFF52	# FULLWIDTH LATIN SMALL LETTER R
0x2373	0xFF53	# FULLWIDTH LATIN SMALL LETTER S
0x2374	0xFF54	# FULLWIDTH LATIN SMALL LETTER T
0x2375	0xFF55	# FULLWIDTH LATIN SMALL LETTER U
0x2376	0xFF56	# FULLWIDTH LATIN SMALL LETTER V
0x2377	0xFF57	# FULLWIDTH LATIN SMALL LETTER W
0x2378	0xFF58	# FULLWIDTH LATIN SMALL LETTER X
0x2379	0xFF59	# FULLWIDTH LATIN SMALL LETTER Y
0x237A	0xFF5A	# FULLWIDTH LATIN SMALL LETTER Z
0x237B	0xFF5B	# FULLWIDTH LEFT CURLY BRACKET
0x237C	0xFF5C	# FULLWIDTH VERTICAL LINE
0x237D	0xFF5D	# FULLWIDTH RIGHT CURLY BRACKET
0x237E	0xFFE3	# FULLWIDTH MACRON
0x2421	0x3041	# HIRAGANA LETTER SMALL A
0x2422	0x3042	# HIRAGANA LETTER A
0x2423	0x3043	# HIRAGANA LETTER SMALL I
0x2424	0x3044	# HIRAGANA LETTER I
0x2425	0x3045	# HIRAGANA LETTER SMALL U
0x2426	0x3046	# HIRAGANA LETTER U
0x2427	0x3047	# HIRAGANA LETTER SMALL E
0x2428	0x3048	# HIRAGANA LETTER E
0x2429	0x3049	# HIRAGANA LETTER SMALL O
0x242A	0x304A	# HIRAGANA LETTER O
0x242B	0x304B	# HIRAGANA LETTER KA
0x242C	0x304C	# HIRAGANA LETTER GA
0x242D	0x304D	# HIRAGANA LETTER KI
0x242E	0x304E	# HIRAGANA LETTER GI
0x242F	0x304F	# HIRAGANA LETTER KU
0x2430	0x3050	# HIRAGANA LETTER GU
0x2431	0x3051	# HIRAGANA LETTER KE
0x2432	0x3052	# HIRAGANA LETTER GE
0x2433	0x3053	# HIRAGANA LETTER KO
0x2434	0x3054	# HIRAGANA LETTER GO
0x2435	0x3055	# HIRAGANA LETTER SA
0x2436	0x3056	# HIRAGANA LETTER ZA
0x2437	0x3057	# HIRAGANA LETTER SI
0x2438	0x3058	# HIRAGANA LETTER ZI
0x2439	0x3059	# HIRAGANA LETTER SU
0x243A	0x305A	# HIRAGANA LETTER ZU
0x243B	0x305B	# HIRAGANA LETTER SE
0x243C	0x305C	# HIRAGANA LETTER ZE
0x243D	0x305D	# HIRAGANA LETTER SO
0x243E	0x305E	# HIRAGANA LETTER ZO
0x243F	0x305F	# HIRAGANA LETTER TA
0x2440	0x3060	# HIRAGANA LETTER DA
0x2441	0x3061	# HIRAGANA LETTER TI
0x2442	0x3062	# HIRAGANA LETTER DI
0x2443	0x3063	# HIRAGANA LETTER SMALL TU
0x2444	0x3064	# HIRAGANA LETTER TU
0x2445	0x3065	# HIRAGANA LETTER DU
0x2446	0x3066	# HIRAGANA LETTER TE
0x2447	0x3067	# HIRAGANA LETTER DE
0x2448	0x3068	# HIRAGANA LETTER TO
0x2449	0x3069	# HIRAGANA LETTER DO
0x244A	0x306A	# HIRAGANA LETTER NA
0x244B	0x306B	# HIRAGANA LETTER NI
0x244C	0x306C	# HIRAGANA LETTER NU
0x244D	0x306D	# HIRAGANA LETTER NE
0x244E	0x306E	# HIRAGANA LETTER NO
0x244F	0x306F	# HIRAGANA LETTER HA
0x2450	0x3070	# HIRAGANA LETTER BA
0x2451	0x3071	# HIRAGANA LETTER PA
0x2452	0x3072	# HIRAGANA LETTER HI
0x2453	0x3073	# HIRAGANA LETTER BI
0x2454	0x3074	# HIRAGANA LETTER PI
0x2455	0x3075	# HIRAGANA LETTER HU
0x2456	0x3076	# HIRAGANA LETTER BU
0x2457	0x3077	# HIRAGANA LETTER PU
0x2458	0x3078	# HIRAGANA LETTER HE
0x2459	0x3079	# HIRAGANA LETTER BE
0x245A	0x307A	# HIRAGANA LETTER PE
0x245B	0x307B	# HIRAGANA LETTER HO
0x245C	0x307C	# HIRAGANA LETTER BO
0x245D	0x307D	# HIRAGANA LETTER PO
0x245E	0x307E	# HIRAGANA LETTER MA
0x245F	0x307F	# HIRAGANA LETTER MI
0x2460	0x3080	# HIRAGANA LETTER MU
0x2461	0x3081	# HIRAGANA LETTER ME
0x2462	0x3082	# HIRAGANA LETTER MO
0x2463	0x3083	# HIRAGANA LETTER SMALL YA
0x2464	0x3084	# HIRAGANA LETTER YA
0x2465	0x3085	# HIRAGANA LETTER SMALL YU
0x2466	0x3086	# HIRAGANA LETTER YU
0x2467	0x3087	# HIRAGANA LETTER SMALL YO
0x2468	0x3088	# HIRAGANA LETTER YO
0x2469	0x3089	# HIRAGANA LETTER RA
0x246A	0x308A	# HIRAGANA LETTER RI
0x246B	0x308B	# HIRAGANA LETTER RU
0x246C	0x308C	# HIRAGANA LETTER RE
0x246D	0x308D	# HIRAGANA LETTER RO
0x246E	0x308E	# HIRAGANA LETTER SMALL WA
0x246F	0x308F	# HIRAGANA LETTER WA
0x2470	0x3090	# HIRAGANA LETTER WI
0x2471	0x3091	# HIRAGANA LETTER WE
0x2472	0x3092	# HIRAGANA LETTER WO
0x2473	0x3093	# HIRAGANA LETTER N
0x2521	0x30A1	# KATAKANA LETTER SMALL A
0x2522	0x30A2	# KATAKANA LETTER A
0x2523	0x30A3	# KATAKANA LETTER SMALL I
0x2524	0x30A4	# KATAKANA LETTER I
0x2525	0x30A5	# KATAKANA LETTER SMALL U
0x2526	0x30A6	# KATAKANA LETTER U
0x2527	0x30A7	# KATAKANA LETTER SMALL E
0x2528	0x30A8	# KATAKANA LETTER E
0x2529	0x30A9	# KATAKANA LETTER SMALL O
0x252A	0x30AA	# KATAKANA LETTER O
0x252B	0x30AB	# KATAKANA LETTER KA
0x252C	0x30AC	# KATAKANA LETTER GA
0x252D	0x30AD	# KATAKANA LETTER KI
0x252E	0x30AE	# KATAKANA LETTER GI
0x252F	0x30AF	# KATAKANA LETTER KU
0x2530	0x30B0	# KATAKANA LETTER GU
0x2531	0x30B1	# KATAKANA LETTER KE
0x2532	0x30B2	# KATAKANA LETTER GE
0x2533	0x30B3	# KATAKANA LETTER KO
0x2534	0x30B4	# KATAKANA LETTER GO
0x2535	0x30B5	# KATAKANA LETTER SA
0x2536	0x30B6	# KATAKANA LETTER ZA
0x2537	0x30B7	# KATAKANA LETTER SI
0x2538	0x30B8	# KATAKANA LETTER ZI
0x2539	0x30B9	# KATAKANA LETTER SU
0x253A	0x30BA	# KATAKANA LETTER ZU
0x253B	0x30BB	# KATAKANA LETTER SE
0x253C	0x30BC	# KATAKANA LETTER ZE
0x253D	0x30BD	# KATAKANA LETTER SO
0x253E	0x30BE	# KATAKANA LETTER ZO
0x253F	0x30BF	# KATAKANA LETTER TA
0x2540	0x30C0	# KATAKANA LETTER DA
0x2541	0x30C1	# KATAKANA LETTER TI
0x2542	0x30C2	# KATAKANA LETTER DI
0x2543	0x30C3	# KATAKANA LETTER SMALL TU
0x2544	0x30C4	# KATAKANA LETTER TU
0x2545	0x30C5	# KATAKANA LETTER DU
0x2546	0x30C6	# KATAKANA LETTER TE
0x2547	0x30C7	# KATAKANA LETTER DE
0x2548	0x30C8	# KATAKANA LETTER TO
0x2549	0x30C9	# KATAKANA LETTER DO
0x254A	0x30CA	# KATAKANA LETTER NA
0x254B	0x30CB	# KATAKANA LETTER NI
0x254C	0x30CC	# KATAKANA LETTER NU
0x254D	0x30CD	# KATAKANA LETTER NE
0x254E	0x30CE	# KATAKANA LETTER NO
0x254F	0x30CF	# KATAKANA LETTER HA
0x2550	0x30D0	# KATAKANA LETTER BA
0x2551	0x30D1	# KATAKANA LETTER PA
0x2552	0x30D2	# KATAKANA LETTER HI
0x2553	0x30D3	# KATAKANA LETTER BI
0x2554	0x30D4	# KATAKANA LETTER PI
0x2555	0x30D5	# KATAKANA LETTER HU
0x2556	0x30D6	# KATAKANA LETTER BU
0x2557	0x30D7	# KATAKANA LETTER PU
0x2558	0x30D8	# KATAKANA LETTER HE
0x2559	0x30D9	# KATAKANA LETTER BE
0x255A	0x30DA	# KATAKANA LETTER PE
0x255B	0x30DB	# KATAKANA LETTER HO
0x255C	0x30DC	# KATAKANA LETTER BO
0x255D	0x30DD	# KATAKANA LETTER PO
0x255E	0x30DE	# KATAKANA LETTER MA
0x255F	0x30DF	# KATAKANA LETTER MI
0x2560	0x30E0	# KATAKANA LETTER MU
0x2561	0x30E1	# KATAKANA LETTER ME
0x2562	0x30E2	# KATAKANA LETTER MO
0x2563	0x30E3	# KATAKANA LETTER SMALL YA
0x2564	0x30E4	# KATAKANA LETTER YA
0x2565	0x30E5	# KATAKANA LETTER SMALL YU
0x2566	0x30E6	# KATAKANA LETTER YU
0x2567	0x30E7	# KATAKANA LETTER SMALL YO
0x2568	0x30E8	# KATAKANA LETTER YO
0x2569	0x30E9	# KATAKANA LETTER RA
0x256A	0x30EA	# KATAKANA LETTER RI
0x256B	0x30EB	# KATAKANA LETTER RU
0x256C	0x30EC	# KATAKANA LETTER RE
0x256D	0x30ED	# KATAKANA LETTER RO
0x256E	0x30EE	# KATAKANA LETTER SMALL WA
0x256F	0x30EF	# KATAKANA LETTER WA
0x2570	0x30F0	# KATAKANA LETTER WI
0x2571	0x30F1	# KATAKANA LETTER WE
0x2572	0x30F2	# KATAKANA LETTER WO
0x2573	0x30F3	# KATAKANA LETTER N
0x2574	0x30F4	# KATAKANA LETTER VU
0x2575	0x30F5	# KATAKANA LETTER SMALL KA
0x2576	0x30F6	# KATAKANA LETTER SMALL KE
0x2621	0x0391	# GREEK CAPITAL LETTER ALPHA
0x2622	0x0392	# GREEK CAPITAL LETTER BETA
0x2623	0x0393	# GREEK CAPITAL LETTER GAMMA
0x2624	0x0394	# GREEK CAPITAL LETTER DELTA
0x2625	0x0395	# GREEK CAPITAL LETTER EPSILON
0x2626	0x0396	# GREEK CAPITAL LETTER ZETA
0x2627	0x0397	# GREEK CAPITAL LETTER ETA
0x2628	0x0398	# GREEK CAPITAL LETTER THETA
